symbol,period_end,filed_at,metric,metric_value,forward_return_60d,forward_price_from,forward_price_to,sector,source
AKSEN,2018-04-01,2018-05-16,roe,0.181255,0.054404,1.9300,2.0350,Enerji,borsapy
AKSEN,2018-04-01,2018-05-16,roa,0.059241,0.054404,1.9300,2.0350,Enerji,borsapy
AKSEN,2018-04-01,2018-05-16,net_margin,0.041151,0.054404,1.9300,2.0350,Enerji,borsapy
AKSEN,2018-04-01,2018-05-16,gross_margin,0.139250,0.054404,1.9300,2.0350,Enerji,borsapy
AKSEN,2018-04-01,2018-05-16,operating_margin,0.123709,0.054404,1.9300,2.0350,Enerji,borsapy
AKSEN,2018-04-01,2018-05-16,fcf_yield,-0.397614,0.054404,1.9300,2.0350,Enerji,borsapy
AKSEN,2018-04-01,2018-05-16,fcf_margin,-0.114305,0.054404,1.9300,2.0350,Enerji,borsapy
AKSEN,2018-04-01,2018-05-16,cfo_to_ni,-2.924135,0.054404,1.9300,2.0350,Enerji,borsapy
AKSEN,2018-04-01,2018-05-16,current_ratio,0.813784,0.054404,1.9300,2.0350,Enerji,borsapy
AKSEN,2018-04-01,2018-05-16,interest_coverage,-0.715327,0.054404,1.9300,2.0350,Enerji,borsapy
AKSEN,2018-04-01,2018-05-16,pe,6.985830,0.054404,1.9300,2.0350,Enerji,borsapy
AKSEN,2018-04-01,2018-05-16,pb,1.266216,0.054404,1.9300,2.0350,Enerji,borsapy
AKSEN,2018-04-01,2018-05-16,debt_equity,819.110579,0.054404,1.9300,2.0350,Enerji,borsapy
AKSEN,2018-04-01,2018-05-16,net_debt_ebitda,845.091437,0.054404,1.9300,2.0350,Enerji,borsapy
AKSEN,2018-04-01,2018-05-16,roic,0.000671,0.054404,1.9300,2.0350,Enerji,borsapy
AKSEN,2018-07-01,2018-08-15,roe,0.247256,-0.087065,2.0100,1.8350,Enerji,borsapy
AKSEN,2018-07-01,2018-08-15,roa,0.074189,-0.087065,2.0100,1.8350,Enerji,borsapy
AKSEN,2018-07-01,2018-08-15,net_margin,0.037285,-0.087065,2.0100,1.8350,Enerji,borsapy
AKSEN,2018-07-01,2018-08-15,gross_margin,0.143321,-0.087065,2.0100,1.8350,Enerji,borsapy
AKSEN,2018-07-01,2018-08-15,operating_margin,0.127899,-0.087065,2.0100,1.8350,Enerji,borsapy
AKSEN,2018-07-01,2018-08-15,fcf_yield,-0.863954,-0.087065,2.0100,1.8350,Enerji,borsapy
AKSEN,2018-07-01,2018-08-15,fcf_margin,-0.152703,-0.087065,2.0100,1.8350,Enerji,borsapy
AKSEN,2018-07-01,2018-08-15,cfo_to_ni,-3.752606,-0.087065,2.0100,1.8350,Enerji,borsapy
AKSEN,2018-07-01,2018-08-15,current_ratio,0.970914,-0.087065,2.0100,1.8350,Enerji,borsapy
AKSEN,2018-07-01,2018-08-15,interest_coverage,-0.564239,-0.087065,2.0100,1.8350,Enerji,borsapy
AKSEN,2018-07-01,2018-08-15,pe,4.740530,-0.087065,2.0100,1.8350,Enerji,borsapy
AKSEN,2018-07-01,2018-08-15,pb,1.172124,-0.087065,2.0100,1.8350,Enerji,borsapy
AKSEN,2018-07-01,2018-08-15,debt_equity,910.594800,-0.087065,2.0100,1.8350,Enerji,borsapy
AKSEN,2018-07-01,2018-08-15,net_debt_ebitda,631.134071,-0.087065,2.0100,1.8350,Enerji,borsapy
AKSEN,2018-07-01,2018-08-15,roic,0.000936,-0.087065,2.0100,1.8350,Enerji,borsapy
AKSEN,2018-10-01,2018-11-15,roe,0.331094,-0.088816,1.5200,1.3850,Enerji,borsapy
AKSEN,2018-10-01,2018-11-15,roa,0.093492,-0.088816,1.5200,1.3850,Enerji,borsapy
AKSEN,2018-10-01,2018-11-15,net_margin,0.032228,-0.088816,1.5200,1.3850,Enerji,borsapy
AKSEN,2018-10-01,2018-11-15,gross_margin,0.157528,-0.088816,1.5200,1.3850,Enerji,borsapy
AKSEN,2018-10-01,2018-11-15,operating_margin,0.139278,-0.088816,1.5200,1.3850,Enerji,borsapy
AKSEN,2018-10-01,2018-11-15,fcf_yield,-0.829066,-0.088816,1.5200,1.3850,Enerji,borsapy
AKSEN,2018-10-01,2018-11-15,fcf_margin,-0.082744,-0.088816,1.5200,1.3850,Enerji,borsapy
AKSEN,2018-10-01,2018-11-15,cfo_to_ni,-1.627068,-0.088816,1.5200,1.3850,Enerji,borsapy
AKSEN,2018-10-01,2018-11-15,current_ratio,0.859685,-0.088816,1.5200,1.3850,Enerji,borsapy
AKSEN,2018-10-01,2018-11-15,interest_coverage,-0.723614,-0.088816,1.5200,1.3850,Enerji,borsapy
AKSEN,2018-10-01,2018-11-15,pe,3.096847,-0.088816,1.5200,1.3850,Enerji,borsapy
AKSEN,2018-10-01,2018-11-15,pb,1.025348,-0.088816,1.5200,1.3850,Enerji,borsapy
AKSEN,2018-10-01,2018-11-15,debt_equity,981.559284,-0.088816,1.5200,1.3850,Enerji,borsapy
AKSEN,2018-10-01,2018-11-15,net_debt_ebitda,430.690196,-0.088816,1.5200,1.3850,Enerji,borsapy
