fold_id,train_from_year,train_to_year,test_year,signal,horizon,n_test,raw_mean,raw_std,raw_sharpe,raw_sharpe_net,raw_hit_rate,n_with_weight,weighted_mean,weighted_sharpe,train_weight_default,train_n,sign_agreement
1,2018,2020,2021,Golden Cross,20,4,0.030002,0.234305,0.454500,0.409100,0.250000,4,-0.001686,-0.454500,-0.056200,16,0
1,2018,2020,2021,Golden Cross,60,4,0.033991,0.353037,0.197300,0.179900,0.500000,4,-0.010945,-0.197300,-0.322000,16,0
1,2018,2020,2021,Death Cross,20,4,-0.023092,0.108627,-0.754600,-0.852600,0.500000,4,-0.026951,-0.754600,1.167100,11,0
1,2018,2020,2021,Death Cross,60,4,0.062558,0.322935,0.397000,0.378000,0.250000,4,0.052155,0.397000,0.833700,11,1
1,2018,2020,2021,52W High Breakout,20,90,0.033310,0.172584,0.685100,0.623400,0.433333,90,0.015530,0.685800,0.240200,142,1
1,2018,2020,2021,52W High Breakout,60,90,0.063621,0.273923,0.476000,0.453500,0.455556,90,0.014324,0.343300,0.168700,142,1
1,2018,2020,2021,MACD Bullish Cross,20,47,0.034186,0.115509,1.050500,0.958300,0.531915,47,0.017933,0.882800,0.711600,154,1
1,2018,2020,2021,MACD Bullish Cross,60,47,0.134924,0.301219,0.918000,0.897600,0.574468,47,0.048971,0.724400,0.572200,154,1
1,2018,2020,2021,MACD Bearish Cross,20,57,0.045202,0.164769,0.973800,0.909200,0.596491,57,0.004481,0.658300,0.082100,171,1
1,2018,2020,2021,MACD Bearish Cross,60,57,0.094413,0.222213,0.870700,0.843100,0.631579,57,0.036578,0.917700,0.304000,171,1
1,2018,2020,2021,RSI Asiri Alim,20,43,0.056639,0.132697,1.515100,1.434900,0.581395,43,0.052914,1.520200,0.927600,96,1
1,2018,2020,2021,RSI Asiri Alim,60,43,0.133123,0.280398,0.973000,0.951000,0.627907,43,-0.017215,-0.305500,0.120900,96,1
1,2018,2020,2021,RSI Asiri Satim,20,16,0.012727,0.107780,0.419200,0.320400,0.562500,16,0.000172,0.419200,0.013500,62,1
1,2018,2020,2021,RSI Asiri Satim,60,16,0.047920,0.137533,0.714100,0.669400,0.562500,16,0.016005,0.714100,0.334000,62,1
1,2018,2020,2021,BB Ust Band Kirilim,20,63,0.020120,0.111331,0.641500,0.545800,0.507937,63,0.010044,0.492200,0.712700,144,1
